time_stamp,robot_x,robot_y,robot_yaw,selected_goal_x,selected_goal_y,final_goal_x,final_goal_y,linear_vel,angular_vel,actual_linear_vel,actual_angular_vel
8.985,3.26927e-06,6.17927e-22,4.44089e-16,1.5233,0.0589933,2.48313,0.077269,0.6,0,0,0
9.021,2.71593e-06,4.27611e-22,4.44089e-16,1.5233,0.0589933,2.48313,0.077269,0.6,0,0.6,0
9.045,3.1571e-06,4.51786e-22,4.44089e-16,1.5233,0.0589933,2.48313,0.077269,0.6,0,0.6,0
9.066,0.00566183,5.46994e-16,1.05724e-11,1.51764,0.0589933,2.47747,0.077269,0.6,0,0.6,0
9.087,0.0162027,-1.13639e-09,1.12559e-05,1.5221,0.0592751,2.48193,0.0775217,0.6,0,0.6,0
9.123,0.0285617,4.13996e-09,4.13321e-05,1.50974,0.0592298,2.48457,0.0777257,0.6,0,0.6,0
9.147,0.0547118,1.325e-07,0.000144919,1.49859,0.059372,2.48842,0.078027,0.6,0,0.6,0
9.171,0.0679164,2.77953e-07,0.000186295,1.50039,0.0596066,2.47522,0.0779264,0.6,0,0.6,0
9.189,0.081132,4.60492e-07,0.000209025,1.50217,0.0598672,2.477,0.0781502,0.6,0,0.6,0
9.213,0.0943589,6.39596e-07,0.000214875,1.50394,0.0601549,2.47877,0.0784139,0.6,0,0.6,0
9.246,0.107588,7.66027e-07,0.000208944,1.52071,0.0607489,2.48054,0.0787087,0.6,0,0.6,0
9.267,0.122457,1.1818e-06,0.000202138,1.52084,0.0609149,2.48067,0.0789966,0.6,0,0.6,0
9.306,0.133995,9.04499e-07,0.000174471,1.5243,0.0612556,2.48413,0.0793455,0.6,0,0.6,0
9.342,0.159771,7.88617e-07,0.000132221,1.51351,0.0616186,2.48834,0.0800095,0.6,0,0.6,0
9.366,0.185143,6.16922e-07,9.23411e-05,1.50314,0.0619772,2.47796,0.0803886,0.6,0,0.6,0
9.39,0.19777,5.22489e-07,7.57632e-05,1.50551,0.0622973,2.48033,0.0807102,0.6,0,0.6,0
9.426,0.219331,9.86653e-07,6.80525e-05,1.49894,0.062606,2.47377,0.0810081,0.6,0,0.6,0
9.444,0.235595,2.91887e-07,3.93926e-05,1.52767,0.0635306,2.4875,0.0816385,0.6,0,0.6,0
9.492,0.260804,1.87932e-07,2.46181e-05,1.51745,0.0638451,2.47728,0.0819562,0.6,0,0.6,0
9.519,0.278806,2.53356e-07,2.03274e-05,1.51445,0.064145,2.47428,0.0822456,0.6,0,0.6,0
9.54,0.286014,1.17665e-07,1.51092e-05,1.52224,0.0644446,2.48207,0.0825374,0.6,0,0.6,0
9.573,0.314817,1.05176e-07,9.42798e-06,1.50844,0.0645545,2.48326,0.0831017,0.6,0,0.6,0
