t0_command_sent,t1_movement_start,t2_goal_reached,current_time,x,y,yaw,V0_linear,V0_angular,Vdesired_linear,Vdesired_angular,current_linear,current_angular
1747997332.414,-1.000,-1.000,1747997332.431,0.000,-0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,-1.000,1747997332.452,0.009,0.000,0.000,0.000,-0.000,1.200,0.000,0.042,0.000
1747997332.414,1747997332.452,-1.000,1747997332.473,0.026,0.000,0.000,0.000,-0.000,1.200,0.000,0.126,0.000
1747997332.414,1747997332.452,-1.000,1747997332.495,0.052,0.000,0.000,0.000,-0.000,1.200,0.000,0.246,0.000
1747997332.414,1747997332.452,-1.000,1747997332.518,0.077,0.000,0.000,0.000,-0.000,1.200,0.000,0.366,0.000
1747997332.414,1747997332.452,-1.000,1747997332.558,0.102,0.000,0.000,0.000,-0.000,1.200,0.000,0.486,0.000
1747997332.414,1747997332.452,-1.000,1747997332.582,0.127,0.000,0.000,0.000,-0.000,1.200,0.000,0.606,0.000
1747997332.414,1747997332.452,-1.000,1747997332.602,0.152,0.000,0.000,0.000,-0.000,1.200,0.000,0.726,0.000
1747997332.414,1747997332.452,-1.000,1747997332.623,0.178,0.000,0.000,0.000,-0.000,1.200,0.000,0.846,0.000
1747997332.414,1747997332.452,-1.000,1747997332.647,0.203,0.000,0.000,0.000,-0.000,1.200,0.000,0.966,0.000
1747997332.414,1747997332.452,-1.000,1747997332.668,0.228,0.000,0.000,0.000,-0.000,1.200,0.000,1.086,0.000
1747997332.414,1747997332.452,-1.000,1747997332.688,0.253,0.000,0.000,0.000,-0.000,1.200,0.000,1.164,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.709,0.278,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.731,0.304,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.754,0.329,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.775,0.354,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.796,0.379,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.817,0.404,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.838,0.430,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.859,0.455,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.881,0.480,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.902,0.505,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.928,0.530,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.950,0.556,0.000,0.000,0.000,-0.000,1.200,0.000,1.200,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.970,0.572,0.000,0.000,0.000,-0.000,1.200,0.000,1.158,0.000
1747997332.414,1747997332.452,1747997332.709,1747997332.992,0.580,0.000,0.000,0.000,-0.000,1.200,0.000,1.074,0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.018,0.580,0.000,0.000,0.000,-0.000,1.200,0.000,0.954,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.039,0.580,0.000,0.000,0.000,-0.000,1.200,0.000,0.834,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.061,0.580,0.000,0.000,0.000,-0.000,1.200,0.000,0.714,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.083,0.580,0.000,0.000,0.000,-0.000,1.200,0.000,0.594,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.103,0.580,0.000,0.000,0.000,-0.000,1.200,0.000,0.474,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.129,0.580,0.000,0.000,0.000,-0.000,1.200,0.000,0.354,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.151,0.580,0.000,0.000,0.000,-0.000,1.200,0.000,0.234,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.172,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.114,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.194,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.036,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.214,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.237,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.258,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.280,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.301,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.322,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.345,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
